"ÉTUDE SALAIRE 2018 - Paysagiste Concepteur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Détails de la soumission","","","","","","","","","","","","Avez-vous un autre diplôme ?","","","","","","","","","","","Compétences mobilisées","","","","","","","","","","","","","","","","",""
"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","Votre diplôme principal","Autre diplôme principal","Votre année de diplôme","non","oui","Nombre d'années d'expérience","Localisation actuelle","Autre localisation","Type actuel d'entreprise","Autre type d'entreprise","Taille de votre entreprise actuelle","Convention collective de l'entreprise","Type de poste actuel","Autre type de poste","Rédactions de documents administratifs (devis, offres, ...)","Recrutement (planification, offre, entretien, ...)","Management (gestion d'équipe, pilotage de projets)","Communication graphique et orale","Veille technique et normative","Concertation","Terrain","Réalisation de concours","Conception (phase esquisse)","Conception (phase AVP)","Conception (phase PRO)","Conception (phase DCE)","ACT - Analyse des offres","Suivi de chantiers","Commercial et relation client","Années d'ancienneté au sein de votre entreprise actuelle","Quelle est votre salaire brut annuel FIXE en 2018 (ajusté pour un temps plein) ?","Quelle est l'estimation de votre rémunération VARIABLE en 2018 ?"
"5","1222734","21/10/2018 - 10:24","21/10/2018 - 10:24","21/10/2018 - 10:24","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","X","","2","Nantes","","Groupe","","201-500","","Chargé(e) d'étude débutant","","X","","","X","","","X","X","X","X","X","","","","X","2","26200","550"
"6","1223475","21/10/2018 - 20:17","21/10/2018 - 20:17","21/10/2018 - 20:17","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","X","","2","Lille","","Agence","","6-10","Entreprise d’architecture","Chef(fe) de projet","","X","","X","X","","X","X","X","X","X","X","X","X","X","","2","29660","28901"
"7","1250705","30/10/2018 - 10:57","30/10/2018 - 10:57","30/10/2018 - 10:57","0","0.0.0.0","0","Anonymous","ENSAPL","","2015","X","","3","Autre","Rouen","Agence","","2-5","Bureau d'études techniques","Assistant(e) de projet","","X","","","X","","","","","X","X","X","X","","","","0","24000","0"
"8","1250706","30/10/2018 - 10:58","30/10/2018 - 10:58","30/10/2018 - 10:58","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","","X","2","Angleterre","","Maîtrise d'œuvre","","51-200","Entreprises paysagistes","Assistant(e) de projet","","X","","","X","X","X","X","X","X","X","X","X","","X","","2","29380","29380"
"9","1250711","30/10/2018 - 10:59","30/10/2018 - 10:59","30/10/2018 - 10:59","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","","X","2","Autre","Montpellier ","Maîtrise d'œuvre","","1001-...","Entreprises paysagistes","Chargé(e) d'étude débutant","","","","","X","","","X","X","X","X","","","","X","","1","26400","24960"
"10","1250740","30/10/2018 - 11:03","30/10/2018 - 11:03","30/10/2018 - 11:03","0","0.0.0.0","0","Anonymous","ENSAPL","","2018","","X","2","Autre","Birmanie","Autre","Design & Project managment","11-25","Entreprise design (interieur, paysage, archi) ","Chargé(e) d'étude","","","","X","X","","","X","","X","X","X","X","","X","","1","34000","0"
"11","1250770","30/10/2018 - 11:09","30/10/2018 - 11:09","30/10/2018 - 11:09","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","","X","2","Île-de-France","","Bureau d'études","","6-10","Entreprises d'architecture ","Chef(fe) de projet","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","1","40560","2275"
"12","1250776","30/10/2018 - 11:11","30/10/2018 - 11:11","30/10/2018 - 11:11","0","0.0.0.0","0","Anonymous","ENSAPL","","2015","","X","3","Île-de-France","","Public","","1001-...","Fonction publique ","Chef(fe) de projet","","","","X","","","","","","","","","","","","","1","37800","26850"
"13","1251185","30/10/2018 - 12:38","30/10/2018 - 12:38","30/10/2018 - 12:38","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","X","","1","Toulouse","","Agence","","2-5","Entreprises paysagistes","Chargé(e) d'étude débutant","","X","","","X","X","","X","X","X","X","X","X","X","X","","1","24000","0"
"14","1251567","30/10/2018 - 14:42","30/10/2018 - 14:42","30/10/2018 - 14:42","0","0.0.0.0","0","Anonymous","ENSAPL","","2014","X","","3","Angleterre","","Agence","","51-200","Consultants en Environnement","Assistant(e) de projet","","","","","X","","","X","","X","X","X","X","","X","","3","32650","800"
